covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
dedication,0.4481957054572664,1.5654850396414755,0.04665004239749755,0.35676330248090465,0.5396281084336282,1.4286976606370045,1.7153688123550046,0.0,9.607616251197854,7.424793507083094e-22,70.19006718422806
intercourse_frequency,0.2847539125900337,1.3294348306893373,0.03863272682604658,0.209035159386408,0.3604726657936594,1.2324883313019572,1.4340070604830564,0.0,7.370795074140346,1.696133993567523e-13,42.42281508709013
average_cycle_length,0.16953765987353442,1.184756963990414,0.06885147045943198,0.0345912574904243,0.30448406225664454,1.0351964934998166,1.35592524949374,0.0,2.462368032842927,0.013802295559768023,6.178947957751425
"been_pregnant_before_Yes, once",0.13470297203476606,1.144196875402854,0.03848878863251229,0.05926633250646733,0.21013961156306477,1.0610577972941513,1.2338503077026213,0.0,3.4997976507106703,0.00046561145660716657,11.068585822619838
"been_pregnant_before_Yes, twice",0.12131381297149865,1.1289791450833049,0.03823415220699145,0.046376251666372784,0.19625137427662454,1.0474684485728822,1.2168327473439353,0.0,3.1729175611043194,0.0015091537003369473,9.372044539485511
been_pregnant_before_Yes 3 times or more,0.0641748021124946,1.066278770253514,0.041953436986773895,-0.018052423409252838,0.14640202763424204,0.98210954547812,1.1576615064257876,0.0,1.5296673341143932,0.12609909320145746,2.9873701938323656
education_PhD,0.059594626822402554,1.0614061937230361,0.15010976811731694,-0.23461511241519753,0.35380436606000265,0.7908751890981489,1.4244764832720178,0.0,0.3970069874188794,0.6913623079420799,0.5324861427584474
sleeping_pattern_Shift worker,0.0360693051993519,1.0367276946207198,0.06216060096668273,-0.08576323395271193,0.15790184435141572,0.9178115121006439,1.171051243771862,0.0,0.580259917671719,0.561739352958321,0.8320272196384737
education_University,0.03324809299295,1.0338069876981681,0.2112493215641224,-0.3807929690312505,0.4472891550171505,0.6833193432423509,1.5640664915796294,0.0,0.15738792790800943,0.8749391270200263,0.19274544845816025
regular_cycle_True,0.03253116632453488,1.0330660895152606,0.048922691078665655,-0.0633555462164288,0.12841787886549857,0.938609695229973,1.1370280434242337,0.0,0.6649504679173538,0.5060821745844533,0.9825564347899002
education_High school,-0.0046025165700021966,0.9954080587787596,0.1402290600038731,-0.2794464237634997,0.2702413906234953,0.7562022411999981,1.3102807020372806,0.0,-0.0328214178279101,0.9738169984557873,0.038277411107359986
bmi,-0.011142217979618719,0.9889196266226697,0.03681123678239387,-0.0832909162994868,0.06100648034024937,0.9200834410120847,1.0629058021561282,0.0,-0.3026852383549317,0.7621297484798565,0.3918914652085061
sleeping_pattern_Several times during the night,-0.011617812228526163,0.9884494139596985,0.0727999785262492,-0.15430314821526392,0.13106752375821157,0.8570121799154644,1.1400447588197007,0.0,-0.1595853798821819,0.8732076965345479,0.1956032484531964
education_Trade/technical/vocational training,-0.016116451557548372,0.984012723568638,0.13607348904234365,-0.2828155893312476,0.2505826862161509,0.753658757761087,1.2847738186198028,0.0,-0.11843932033324449,0.9057195718989146,0.14286366145464754
sleeping_pattern_Wake same every workday,-0.01672374428049907,0.9834153212197337,0.09005507447272378,-0.19322844687211008,0.15978095831111191,0.8242936453233884,1.1732538513387367,0.0,-0.18570574038628354,0.8526755264531691,0.2299312459969414
sleeping_pattern_Wake same every day,-0.030894216686503436,0.9695781328389601,0.07073060221770114,-0.16952364963802655,0.10773521626501967,0.8440667923702054,1.1137528027132322,0.0,-0.43678712916107204,0.6622657340824478,0.5945178803950371
cycle_length_std,-0.1545734200365853,0.8567805849709075,0.08484746016161766,-0.320871386133053,0.011724546059882351,0.7255165564796856,1.0117935479583289,0.0,-1.8217801657486676,0.06848834842611858,3.8679976191854695
age,-0.18749701240717748,0.8290315949855434,0.04214110812363323,-0.2700920665981069,-0.10490195821624805,0.7633092158189467,0.9004127963356029,0.0,-4.449266304462149,8.616412663405006e-06,16.824481223203506
